task_id,benchmark,llama3_tier,codellama_tier,deepseek_tier,n_models_hard,n_models_easy
HumanEval/136,humaneval,medium,hard,hard,2,0
HumanEval/137,humaneval,hard,hard,hard,3,0
HumanEval/138,humaneval,hard,hard,hard,3,0
HumanEval/139,humaneval,hard,hard,hard,3,0
HumanEval/14,humaneval,medium,hard,easy,1,1
HumanEval/140,humaneval,hard,hard,hard,3,0
HumanEval/141,humaneval,hard,hard,hard,3,0
HumanEval/142,humaneval,medium,hard,easy,1,1
HumanEval/143,humaneval,hard,hard,easy,2,1
HumanEval/144,humaneval,hard,hard,hard,3,0
HumanEval/145,humaneval,hard,hard,hard,3,0
HumanEval/146,humaneval,medium,hard,hard,2,0
HumanEval/147,humaneval,easy,hard,medium,1,1
HumanEval/148,humaneval,hard,hard,medium,2,0
HumanEval/149,humaneval,medium,hard,medium,1,0
HumanEval/15,humaneval,hard,hard,medium,2,0
HumanEval/150,humaneval,hard,hard,medium,2,0
HumanEval/151,humaneval,medium,hard,hard,2,0
HumanEval/152,humaneval,easy,medium,easy,0,2
HumanEval/153,humaneval,hard,hard,medium,2,0
HumanEval/154,humaneval,medium,hard,medium,1,0
HumanEval/155,humaneval,medium,hard,medium,1,0
HumanEval/156,humaneval,medium,hard,medium,1,0
HumanEval/157,humaneval,medium,hard,medium,1,0
HumanEval/158,humaneval,medium,hard,medium,1,0
HumanEval/159,humaneval,medium,hard,medium,1,0
HumanEval/16,humaneval,easy,medium,medium,0,1
HumanEval/160,humaneval,hard,hard,hard,3,0
HumanEval/161,humaneval,hard,hard,medium,2,0
HumanEval/162,humaneval,hard,medium,medium,1,0
HumanEval/163,humaneval,hard,hard,hard,3,0
HumanEval/17,humaneval,hard,hard,hard,3,0
HumanEval/18,humaneval,easy,hard,easy,1,2
HumanEval/19,humaneval,hard,hard,medium,2,0
HumanEval/2,humaneval,easy,hard,medium,1,1
HumanEval/20,humaneval,hard,hard,medium,2,0
HumanEval/21,humaneval,medium,hard,easy,1,1
HumanEval/22,humaneval,hard,hard,hard,3,0
HumanEval/23,humaneval,easy,hard,medium,1,1
HumanEval/24,humaneval,easy,hard,medium,1,1
HumanEval/25,humaneval,medium,medium,hard,1,0
HumanEval/26,humaneval,hard,hard,medium,2,0
HumanEval/27,humaneval,easy,medium,easy,0,2
HumanEval/28,humaneval,easy,hard,easy,1,2
HumanEval/29,humaneval,easy,hard,easy,1,2
HumanEval/3,humaneval,easy,medium,easy,0,2
HumanEval/30,humaneval,easy,hard,medium,1,1
HumanEval/31,humaneval,easy,medium,hard,1,1
HumanEval/32,humaneval,hard,hard,hard,3,0
HumanEval/33,humaneval,hard,hard,medium,2,0
HumanEval/34,humaneval,medium,hard,medium,1,0
HumanEval/35,humaneval,easy,hard,medium,1,1
HumanEval/36,humaneval,medium,hard,easy,1,1
HumanEval/37,humaneval,hard,hard,medium,2,0
HumanEval/38,humaneval,easy,hard,easy,1,2
HumanEval/39,humaneval,hard,hard,hard,3,0
HumanEval/4,humaneval,easy,hard,easy,1,2
HumanEval/40,humaneval,medium,hard,medium,1,0
HumanEval/41,humaneval,hard,hard,hard,3,0
HumanEval/42,humaneval,easy,hard,medium,1,1
HumanEval/43,humaneval,medium,hard,medium,1,0
HumanEval/44,humaneval,medium,hard,medium,1,0
HumanEval/45,humaneval,easy,hard,medium,1,1
HumanEval/46,humaneval,hard,hard,medium,2,0
HumanEval/47,humaneval,easy,hard,easy,1,2
HumanEval/48,humaneval,easy,hard,easy,1,2
HumanEval/49,humaneval,hard,hard,hard,3,0
HumanEval/5,humaneval,medium,medium,medium,0,0
HumanEval/50,humaneval,easy,hard,medium,1,1
HumanEval/51,humaneval,easy,hard,medium,1,1
HumanEval/52,humaneval,medium,hard,medium,1,0
HumanEval/53,humaneval,easy,hard,easy,1,2
HumanEval/54,humaneval,hard,hard,hard,3,0
HumanEval/55,humaneval,medium,hard,hard,2,0
HumanEval/56,humaneval,easy,medium,medium,0,1
HumanEval/57,humaneval,medium,hard,medium,1,0
HumanEval/58,humaneval,medium,medium,easy,0,1
HumanEval/59,humaneval,medium,hard,hard,2,0
HumanEval/6,humaneval,hard,hard,medium,2,0
HumanEval/60,humaneval,easy,medium,medium,0,1
HumanEval/61,humaneval,easy,medium,medium,0,1
HumanEval/62,humaneval,medium,hard,medium,1,0
HumanEval/63,humaneval,medium,hard,medium,1,0
HumanEval/64,humaneval,hard,hard,hard,3,0
HumanEval/65,humaneval,medium,hard,medium,1,0
HumanEval/66,humaneval,easy,medium,easy,0,2
HumanEval/67,humaneval,hard,hard,hard,3,0
HumanEval/68,humaneval,medium,hard,medium,1,0
HumanEval/69,humaneval,hard,hard,medium,2,0
HumanEval/7,humaneval,easy,hard,easy,1,2
HumanEval/70,humaneval,hard,hard,medium,2,0
HumanEval/71,humaneval,easy,medium,medium,0,1
HumanEval/72,humaneval,easy,hard,medium,1,1
HumanEval/73,humaneval,medium,hard,hard,2,0
HumanEval/74,humaneval,medium,medium,hard,1,0
HumanEval/75,humaneval,hard,hard,hard,3,0
HumanEval/76,humaneval,hard,hard,hard,3,0
HumanEval/77,humaneval,hard,hard,hard,3,0
HumanEval/78,humaneval,medium,medium,medium,0,0
HumanEval/79,humaneval,medium,hard,hard,2,0
HumanEval/8,humaneval,easy,hard,medium,1,1
HumanEval/80,humaneval,medium,hard,hard,2,0
HumanEval/81,humaneval,medium,hard,hard,2,0
HumanEval/82,humaneval,medium,hard,medium,1,0
HumanEval/83,humaneval,hard,hard,hard,3,0
HumanEval/84,humaneval,hard,hard,hard,3,0
HumanEval/85,humaneval,easy,hard,medium,1,1
HumanEval/86,humaneval,hard,medium,hard,2,0
HumanEval/87,humaneval,medium,hard,hard,2,0
HumanEval/88,humaneval,hard,hard,medium,2,0
HumanEval/89,humaneval,hard,hard,hard,3,0
HumanEval/9,humaneval,medium,medium,medium,0,0
HumanEval/90,humaneval,hard,hard,hard,3,0
HumanEval/91,humaneval,hard,hard,hard,3,0
HumanEval/92,humaneval,hard,hard,easy,2,1
HumanEval/93,humaneval,hard,hard,hard,3,0
HumanEval/94,humaneval,medium,hard,hard,2,0
HumanEval/95,humaneval,hard,hard,medium,2,0
HumanEval/96,humaneval,medium,medium,medium,0,0
HumanEval/97,humaneval,hard,hard,medium,2,0
HumanEval/98,humaneval,medium,hard,medium,1,0
HumanEval/99,humaneval,hard,hard,hard,3,0
Mbpp/100,mbpp,medium,hard,medium,1,0
Mbpp/101,mbpp,medium,hard,hard,2,0
Mbpp/102,mbpp,hard,hard,hard,3,0
Mbpp/103,mbpp,hard,hard,hard,3,0
Mbpp/104,mbpp,easy,medium,easy,0,2
Mbpp/105,mbpp,easy,medium,easy,0,2
Mbpp/106,mbpp,medium,medium,easy,0,1
Mbpp/108,mbpp,hard,hard,easy,2,1
Mbpp/109,mbpp,hard,hard,hard,3,0
Mbpp/11,mbpp,hard,hard,hard,3,0
Mbpp/111,mbpp,medium,hard,easy,1,1
Mbpp/113,mbpp,hard,hard,hard,3,0
Mbpp/116,mbpp,medium,medium,easy,0,1
Mbpp/118,mbpp,easy,medium,easy,0,2
Mbpp/119,mbpp,hard,hard,hard,3,0
Mbpp/12,mbpp,medium,easy,easy,0,2
Mbpp/120,mbpp,hard,hard,medium,2,0
Mbpp/123,mbpp,hard,hard,hard,3,0
Mbpp/124,mbpp,hard,hard,hard,3,0
Mbpp/125,mbpp,hard,hard,hard,3,0
Mbpp/126,mbpp,hard,hard,hard,3,0
Mbpp/127,mbpp,medium,medium,easy,0,1
Mbpp/128,mbpp,hard,medium,easy,1,1
Mbpp/129,mbpp,hard,hard,medium,2,0
Mbpp/130,mbpp,easy,medium,easy,0,2
Mbpp/131,mbpp,hard,hard,easy,2,1
Mbpp/132,mbpp,medium,medium,easy,0,1
Mbpp/133,mbpp,medium,medium,easy,0,1
Mbpp/135,mbpp,medium,medium,easy,0,1
Mbpp/137,mbpp,hard,hard,hard,3,0
Mbpp/138,mbpp,hard,hard,hard,3,0
Mbpp/139,mbpp,easy,medium,easy,0,2
Mbpp/14,mbpp,easy,medium,medium,0,1
Mbpp/140,mbpp,easy,medium,medium,0,1
Mbpp/141,mbpp,medium,hard,easy,1,1
Mbpp/142,mbpp,hard,hard,hard,3,0
Mbpp/145,mbpp,easy,hard,medium,1,1
Mbpp/16,mbpp,hard,hard,hard,3,0
Mbpp/160,mbpp,hard,hard,hard,3,0
Mbpp/161,mbpp,medium,medium,easy,0,1
Mbpp/162,mbpp,hard,medium,medium,1,0
Mbpp/165,mbpp,hard,medium,easy,1,1
Mbpp/166,mbpp,medium,medium,medium,0,0
Mbpp/167,mbpp,hard,hard,medium,2,0
Mbpp/168,mbpp,easy,medium,easy,0,2
Mbpp/17,mbpp,easy,medium,easy,0,2
Mbpp/170,mbpp,medium,hard,easy,1,1
Mbpp/171,mbpp,easy,medium,easy,0,2
Mbpp/172,mbpp,easy,easy,medium,0,2
Mbpp/18,mbpp,easy,medium,easy,0,2
Mbpp/19,mbpp,easy,medium,easy,0,2
Mbpp/2,mbpp,medium,medium,easy,0,1
Mbpp/20,mbpp,hard,hard,hard,3,0
Mbpp/222,mbpp,easy,medium,easy,0,2
Mbpp/223,mbpp,medium,hard,hard,2,0
Mbpp/224,mbpp,easy,medium,easy,0,2
Mbpp/226,mbpp,easy,medium,easy,0,2
Mbpp/227,mbpp,easy,hard,easy,1,2
Mbpp/230,mbpp,easy,medium,easy,0,2
Mbpp/232,mbpp,medium,easy,easy,0,2
Mbpp/233,mbpp,easy,hard,medium,1,1
Mbpp/234,mbpp,easy,easy,easy,0,3
Mbpp/235,mbpp,hard,hard,hard,3,0
Mbpp/237,mbpp,hard,hard,hard,3,0
Mbpp/238,mbpp,medium,medium,medium,0,0
Mbpp/239,mbpp,hard,hard,hard,3,0
Mbpp/240,mbpp,medium,medium,easy,0,1
Mbpp/242,mbpp,easy,hard,easy,1,2
Mbpp/244,mbpp,hard,hard,hard,3,0
Mbpp/245,mbpp,hard,hard,medium,2,0
Mbpp/247,mbpp,hard,hard,medium,2,0
Mbpp/250,mbpp,easy,hard,easy,1,2
Mbpp/251,mbpp,medium,medium,easy,0,1
Mbpp/252,mbpp,medium,hard,medium,1,0
Mbpp/253,mbpp,medium,easy,easy,0,2
Mbpp/255,mbpp,hard,hard,hard,3,0
Mbpp/256,mbpp,hard,hard,medium,2,0
Mbpp/257,mbpp,easy,medium,medium,0,1
Mbpp/259,mbpp,hard,hard,medium,2,0
Mbpp/260,mbpp,hard,hard,hard,3,0
Mbpp/261,mbpp,medium,hard,easy,1,1
Mbpp/262,mbpp,medium,medium,easy,0,1
Mbpp/264,mbpp,easy,hard,hard,2,1
Mbpp/265,mbpp,medium,hard,medium,1,0
Mbpp/266,mbpp,easy,hard,easy,1,2
Mbpp/267,mbpp,hard,hard,hard,3,0
Mbpp/268,mbpp,hard,hard,hard,3,0
Mbpp/269,mbpp,easy,easy,easy,0,3
Mbpp/270,mbpp,easy,medium,medium,0,1
Mbpp/271,mbpp,hard,hard,medium,2,0
Mbpp/272,mbpp,medium,hard,medium,1,0
Mbpp/273,mbpp,easy,medium,medium,0,1
Mbpp/274,mbpp,medium,hard,medium,1,0
Mbpp/276,mbpp,easy,medium,easy,0,2
Mbpp/277,mbpp,easy,medium,easy,0,2
Mbpp/278,mbpp,hard,hard,hard,3,0
Mbpp/279,mbpp,hard,hard,hard,3,0
Mbpp/280,mbpp,easy,easy,easy,0,3
Mbpp/281,mbpp,easy,medium,easy,0,2
Mbpp/282,mbpp,easy,medium,easy,0,2
Mbpp/283,mbpp,hard,medium,medium,1,0
Mbpp/284,mbpp,easy,medium,easy,0,2
Mbpp/285,mbpp,medium,medium,medium,0,0
Mbpp/286,mbpp,hard,hard,hard,3,0
Mbpp/287,mbpp,hard,hard,hard,3,0
Mbpp/290,mbpp,medium,hard,medium,1,0
Mbpp/292,mbpp,medium,medium,easy,0,1
Mbpp/293,mbpp,easy,hard,easy,1,2
Mbpp/294,mbpp,hard,hard,hard,3,0
Mbpp/296,mbpp,medium,medium,medium,0,0
Mbpp/297,mbpp,easy,medium,medium,0,1
Mbpp/299,mbpp,hard,hard,medium,2,0
Mbpp/3,mbpp,medium,hard,medium,1,0
Mbpp/300,mbpp,hard,hard,hard,3,0
Mbpp/301,mbpp,medium,hard,medium,1,0
Mbpp/305,mbpp,hard,hard,hard,3,0
Mbpp/306,mbpp,hard,hard,hard,3,0
Mbpp/308,mbpp,medium,hard,medium,1,0
Mbpp/309,mbpp,easy,easy,easy,0,3
Mbpp/310,mbpp,medium,hard,hard,2,0
Mbpp/311,mbpp,hard,hard,hard,3,0
Mbpp/312,mbpp,easy,medium,easy,0,2
Mbpp/388,mbpp,easy,medium,easy,0,2
Mbpp/389,mbpp,hard,hard,medium,2,0
Mbpp/390,mbpp,easy,medium,easy,0,2
Mbpp/391,mbpp,medium,hard,medium,1,0
Mbpp/392,mbpp,hard,medium,hard,2,0
Mbpp/394,mbpp,easy,medium,easy,0,2
Mbpp/395,mbpp,easy,easy,medium,0,2
Mbpp/397,mbpp,easy,medium,easy,0,2
Mbpp/398,mbpp,hard,hard,hard,3,0
Mbpp/4,mbpp,easy,hard,easy,1,2
Mbpp/404,mbpp,easy,easy,easy,0,3
Mbpp/405,mbpp,easy,easy,easy,0,3
Mbpp/406,mbpp,easy,medium,medium,0,1
Mbpp/409,mbpp,easy,hard,easy,1,2
Mbpp/410,mbpp,hard,hard,medium,2,0
Mbpp/412,mbpp,medium,hard,easy,1,1
Mbpp/413,mbpp,hard,medium,easy,1,1
Mbpp/414,mbpp,easy,hard,easy,1,2
Mbpp/415,mbpp,hard,hard,hard,3,0
Mbpp/418,mbpp,hard,medium,easy,1,1
Mbpp/419,mbpp,medium,hard,easy,1,1
Mbpp/420,mbpp,hard,hard,medium,2,0
Mbpp/421,mbpp,hard,hard,easy,2,1
Mbpp/422,mbpp,easy,hard,easy,1,2
Mbpp/424,mbpp,medium,medium,easy,0,1
Mbpp/425,mbpp,easy,medium,easy,0,2
Mbpp/426,mbpp,easy,medium,easy,0,2
Mbpp/427,mbpp,hard,hard,hard,3,0
Mbpp/428,mbpp,medium,easy,easy,0,2
Mbpp/429,mbpp,hard,medium,easy,1,1
Mbpp/430,mbpp,hard,hard,hard,3,0
Mbpp/432,mbpp,hard,hard,hard,3,0
Mbpp/433,mbpp,hard,hard,medium,2,0
Mbpp/435,mbpp,hard,hard,hard,3,0
Mbpp/436,mbpp,easy,hard,easy,1,2
Mbpp/437,mbpp,hard,hard,medium,2,0
Mbpp/439,mbpp,easy,medium,easy,0,2
Mbpp/440,mbpp,hard,hard,hard,3,0
Mbpp/441,mbpp,easy,medium,easy,0,2
Mbpp/445,mbpp,medium,medium,hard,1,0
Mbpp/446,mbpp,medium,medium,medium,0,0
Mbpp/447,mbpp,medium,medium,easy,0,1
Mbpp/448,mbpp,hard,hard,hard,3,0
Mbpp/450,mbpp,easy,hard,easy,1,2
Mbpp/451,mbpp,medium,easy,easy,0,2
Mbpp/453,mbpp,medium,hard,easy,1,1
Mbpp/454,mbpp,medium,medium,medium,0,0
Mbpp/455,mbpp,medium,medium,easy,0,1
Mbpp/456,mbpp,easy,easy,easy,0,3
Mbpp/457,mbpp,medium,medium,easy,0,1
Mbpp/458,mbpp,easy,medium,easy,0,2
Mbpp/459,mbpp,hard,medium,medium,1,0
Mbpp/460,mbpp,easy,medium,easy,0,2
Mbpp/462,mbpp,hard,hard,hard,3,0
Mbpp/463,mbpp,hard,hard,medium,2,0
Mbpp/465,mbpp,easy,hard,medium,1,1
Mbpp/468,mbpp,hard,hard,hard,3,0
Mbpp/470,mbpp,medium,hard,easy,1,1
Mbpp/471,mbpp,medium,medium,easy,0,1
Mbpp/472,mbpp,easy,hard,easy,1,2
Mbpp/473,mbpp,hard,hard,hard,3,0
Mbpp/474,mbpp,easy,easy,easy,0,3
Mbpp/475,mbpp,hard,medium,easy,1,1
Mbpp/476,mbpp,easy,medium,medium,0,1
Mbpp/477,mbpp,easy,easy,easy,0,3
Mbpp/478,mbpp,easy,medium,easy,0,2
Mbpp/479,mbpp,easy,medium,medium,0,1
Mbpp/554,mbpp,hard,easy,easy,1,2
Mbpp/555,mbpp,hard,hard,medium,2,0
Mbpp/556,mbpp,medium,hard,easy,1,1
Mbpp/557,mbpp,easy,medium,easy,0,2
Mbpp/558,mbpp,hard,medium,medium,1,0
Mbpp/559,mbpp,hard,hard,medium,2,0
Mbpp/56,mbpp,hard,hard,medium,2,0
Mbpp/560,mbpp,hard,medium,medium,1,0
Mbpp/562,mbpp,medium,easy,easy,0,2
Mbpp/563,mbpp,medium,hard,hard,2,0
Mbpp/564,mbpp,hard,medium,easy,1,1
Mbpp/565,mbpp,easy,easy,easy,0,3
Mbpp/566,mbpp,easy,medium,easy,0,2
Mbpp/567,mbpp,medium,medium,easy,0,1
Mbpp/568,mbpp,easy,easy,easy,0,3
Mbpp/569,mbpp,easy,medium,easy,0,2
Mbpp/57,mbpp,medium,hard,easy,1,1
Mbpp/572,mbpp,hard,hard,medium,2,0
Mbpp/573,mbpp,easy,medium,easy,0,2
Mbpp/576,mbpp,hard,hard,hard,3,0
Mbpp/577,mbpp,hard,hard,hard,3,0
Mbpp/578,mbpp,medium,medium,easy,0,1
Mbpp/579,mbpp,medium,hard,easy,1,1
Mbpp/58,mbpp,easy,medium,easy,0,2
Mbpp/580,mbpp,hard,hard,medium,2,0
Mbpp/581,mbpp,medium,medium,hard,1,0
Mbpp/583,mbpp,easy,medium,easy,0,2
Mbpp/585,mbpp,medium,medium,easy,0,1
Mbpp/586,mbpp,easy,medium,easy,0,2
Mbpp/587,mbpp,medium,easy,easy,0,2
Mbpp/588,mbpp,easy,medium,easy,0,2
Mbpp/589,mbpp,hard,hard,hard,3,0
Mbpp/59,mbpp,hard,hard,easy,2,1
Mbpp/590,mbpp,hard,hard,hard,3,0
Mbpp/591,mbpp,medium,easy,easy,0,2
Mbpp/592,mbpp,hard,hard,hard,3,0
Mbpp/593,mbpp,hard,hard,hard,3,0
Mbpp/594,mbpp,hard,hard,medium,2,0
Mbpp/596,mbpp,easy,hard,easy,1,2
Mbpp/597,mbpp,medium,hard,hard,2,0
Mbpp/598,mbpp,medium,medium,medium,0,0
Mbpp/599,mbpp,medium,medium,easy,0,1
Mbpp/6,mbpp,hard,hard,hard,3,0
Mbpp/600,mbpp,easy,easy,easy,0,3
Mbpp/602,mbpp,easy,hard,easy,1,2
Mbpp/603,mbpp,hard,hard,hard,3,0
Mbpp/604,mbpp,hard,medium,easy,1,1
Mbpp/605,mbpp,easy,hard,hard,2,1
Mbpp/606,mbpp,easy,hard,easy,1,2
Mbpp/607,mbpp,hard,hard,medium,2,0
Mbpp/608,mbpp,hard,hard,easy,2,1
Mbpp/61,mbpp,medium,medium,medium,0,0
Mbpp/610,mbpp,hard,medium,medium,1,0
Mbpp/611,mbpp,easy,hard,easy,1,2
Mbpp/612,mbpp,easy,medium,easy,0,2
Mbpp/614,mbpp,easy,easy,easy,0,3
Mbpp/615,mbpp,hard,hard,hard,3,0
Mbpp/616,mbpp,easy,easy,easy,0,3
Mbpp/618,mbpp,easy,easy,easy,0,3
Mbpp/619,mbpp,hard,medium,hard,2,0
Mbpp/62,mbpp,easy,easy,easy,0,3
Mbpp/620,mbpp,hard,hard,hard,3,0
Mbpp/622,mbpp,hard,hard,hard,3,0
Mbpp/623,mbpp,easy,medium,easy,0,2
Mbpp/624,mbpp,easy,medium,easy,0,2
Mbpp/626,mbpp,hard,hard,hard,3,0
Mbpp/628,mbpp,easy,easy,easy,0,3
Mbpp/629,mbpp,medium,medium,medium,0,0
Mbpp/63,mbpp,hard,hard,hard,3,0
Mbpp/630,mbpp,hard,hard,hard,3,0
Mbpp/631,mbpp,medium,hard,hard,2,0
Mbpp/632,mbpp,easy,medium,easy,0,2
Mbpp/633,mbpp,hard,hard,easy,2,1
Mbpp/635,mbpp,easy,hard,medium,1,1
Mbpp/637,mbpp,medium,hard,hard,2,0
Mbpp/638,mbpp,hard,hard,medium,2,0
Mbpp/639,mbpp,hard,hard,hard,3,0
Mbpp/64,mbpp,easy,medium,medium,0,1
Mbpp/641,mbpp,hard,hard,hard,3,0
Mbpp/643,mbpp,hard,hard,medium,2,0
Mbpp/644,mbpp,medium,hard,medium,1,0
Mbpp/65,mbpp,medium,medium,easy,0,1
Mbpp/66,mbpp,easy,medium,easy,0,2
Mbpp/67,mbpp,hard,hard,hard,3,0
Mbpp/68,mbpp,hard,hard,hard,3,0
Mbpp/69,mbpp,medium,medium,medium,0,0
Mbpp/7,mbpp,easy,hard,hard,2,1
Mbpp/70,mbpp,medium,medium,easy,0,1
Mbpp/71,mbpp,hard,medium,easy,1,1
Mbpp/72,mbpp,hard,hard,hard,3,0
Mbpp/720,mbpp,easy,medium,easy,0,2
Mbpp/721,mbpp,hard,hard,medium,2,0
Mbpp/722,mbpp,medium,hard,medium,1,0
Mbpp/723,mbpp,easy,medium,easy,0,2
Mbpp/724,mbpp,medium,medium,easy,0,1
Mbpp/725,mbpp,medium,hard,medium,1,0
Mbpp/726,mbpp,easy,hard,easy,1,2
Mbpp/728,mbpp,easy,medium,easy,0,2
Mbpp/730,mbpp,medium,hard,medium,1,0
Mbpp/731,mbpp,medium,hard,medium,1,0
Mbpp/732,mbpp,easy,medium,easy,0,2
Mbpp/733,mbpp,easy,medium,easy,0,2
Mbpp/734,mbpp,hard,medium,easy,1,1
Mbpp/735,mbpp,hard,hard,hard,3,0
Mbpp/736,mbpp,medium,hard,easy,1,1
Mbpp/737,mbpp,medium,medium,medium,0,0
Mbpp/739,mbpp,hard,hard,hard,3,0
Mbpp/74,mbpp,hard,hard,hard,3,0
Mbpp/740,mbpp,easy,hard,easy,1,2
Mbpp/741,mbpp,medium,easy,medium,0,1
Mbpp/742,mbpp,hard,hard,medium,2,0
Mbpp/743,mbpp,medium,medium,easy,0,1
Mbpp/744,mbpp,easy,easy,medium,0,2
Mbpp/745,mbpp,hard,hard,hard,3,0
Mbpp/748,mbpp,hard,hard,hard,3,0
Mbpp/749,mbpp,hard,hard,easy,2,1
Mbpp/75,mbpp,easy,easy,easy,0,3
Mbpp/750,mbpp,easy,easy,easy,0,3
Mbpp/751,mbpp,hard,medium,hard,2,0
Mbpp/752,mbpp,hard,hard,hard,3,0
Mbpp/753,mbpp,hard,hard,medium,2,0
Mbpp/754,mbpp,hard,hard,hard,3,0
Mbpp/755,mbpp,hard,medium,hard,2,0
Mbpp/757,mbpp,hard,hard,medium,2,0
Mbpp/758,mbpp,easy,medium,easy,0,2
Mbpp/759,mbpp,hard,hard,hard,3,0
Mbpp/760,mbpp,easy,medium,easy,0,2
Mbpp/762,mbpp,medium,hard,medium,1,0
Mbpp/763,mbpp,hard,hard,easy,2,1
Mbpp/764,mbpp,easy,medium,easy,0,2
Mbpp/765,mbpp,hard,hard,hard,3,0
Mbpp/766,mbpp,medium,easy,medium,0,1
Mbpp/767,mbpp,medium,medium,medium,0,0
Mbpp/769,mbpp,hard,hard,medium,2,0
Mbpp/77,mbpp,hard,medium,medium,1,0
Mbpp/770,mbpp,easy,hard,medium,1,1
Mbpp/771,mbpp,hard,hard,hard,3,0
Mbpp/772,mbpp,medium,easy,easy,0,2
Mbpp/773,mbpp,hard,hard,medium,2,0
Mbpp/775,mbpp,medium,medium,easy,0,1
Mbpp/777,mbpp,hard,hard,easy,2,1
Mbpp/778,mbpp,medium,hard,easy,1,1
Mbpp/780,mbpp,hard,hard,hard,3,0
Mbpp/781,mbpp,hard,hard,hard,3,0
Mbpp/782,mbpp,hard,hard,medium,2,0
Mbpp/784,mbpp,hard,medium,medium,1,0
Mbpp/785,mbpp,easy,hard,hard,2,1
Mbpp/786,mbpp,medium,hard,medium,1,0
Mbpp/787,mbpp,medium,hard,medium,1,0
Mbpp/788,mbpp,hard,hard,medium,2,0
Mbpp/79,mbpp,easy,medium,medium,0,1
Mbpp/790,mbpp,hard,hard,hard,3,0
Mbpp/791,mbpp,medium,hard,easy,1,1
Mbpp/792,mbpp,hard,hard,medium,2,0
Mbpp/793,mbpp,medium,medium,medium,0,0
Mbpp/794,mbpp,medium,hard,hard,2,0
Mbpp/796,mbpp,easy,medium,easy,0,2
Mbpp/797,mbpp,easy,hard,medium,1,1
Mbpp/798,mbpp,medium,medium,easy,0,1
Mbpp/799,mbpp,easy,easy,easy,0,3
Mbpp/8,mbpp,easy,easy,easy,0,3
Mbpp/80,mbpp,medium,hard,easy,1,1
Mbpp/800,mbpp,hard,easy,medium,1,1
Mbpp/801,mbpp,hard,medium,hard,2,0
Mbpp/803,mbpp,medium,medium,hard,1,0
Mbpp/804,mbpp,medium,medium,medium,0,0
Mbpp/805,mbpp,easy,hard,easy,1,2
Mbpp/806,mbpp,hard,hard,hard,3,0
Mbpp/807,mbpp,easy,medium,easy,0,2
Mbpp/808,mbpp,easy,medium,easy,0,2
Mbpp/809,mbpp,hard,hard,hard,3,0
Mbpp/82,mbpp,easy,medium,easy,0,2
Mbpp/84,mbpp,hard,hard,hard,3,0
Mbpp/85,mbpp,easy,hard,easy,1,2
Mbpp/86,mbpp,hard,hard,hard,3,0
Mbpp/87,mbpp,easy,medium,easy,0,2
Mbpp/88,mbpp,easy,medium,easy,0,2
Mbpp/89,mbpp,medium,hard,hard,2,0
Mbpp/9,mbpp,hard,hard,hard,3,0
Mbpp/90,mbpp,easy,medium,easy,0,2
Mbpp/91,mbpp,medium,medium,easy,0,1
Mbpp/92,mbpp,hard,hard,hard,3,0
