defect_id,type,description,api_name,source_project,stage,invariant
J-049,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,detectron2,environment,shape_channel_first
J-050,structural,Batch size dimension mismatch in concatenation,torch.cat,timm,environment,batch_dim_match
J-051,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,huggingface/transformers,environment,shape_dim_2
J-052,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,pytorch-lightning,environment,dtype_float32
J-053,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,fastai,environment,device_cuda
J-054,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,mmdetection,environment,shape_channel_first
J-055,structural,Batch size dimension mismatch in concatenation,torch.cat,efficientnet,environment,batch_dim_match
J-056,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,yolov5,environment,shape_dim_2
J-057,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,detectron2,environment,dtype_float32
J-058,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,timm,environment,device_cuda
J-059,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,huggingface/transformers,environment,shape_channel_first
J-060,structural,Batch size dimension mismatch in concatenation,torch.cat,pytorch-lightning,environment,batch_dim_match
J-061,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,fastai,environment,shape_dim_2
J-062,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,mmdetection,environment,dtype_float32
J-063,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,efficientnet,environment,device_cuda
J-064,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,yolov5,environment,shape_channel_first
J-065,structural,Batch size dimension mismatch in concatenation,torch.cat,detectron2,environment,batch_dim_match
J-066,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,timm,environment,shape_dim_2
J-067,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,huggingface/transformers,environment,dtype_float32
J-068,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,pytorch-lightning,environment,device_cuda
J-069,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,fastai,environment,shape_channel_first
J-070,structural,Batch size dimension mismatch in concatenation,torch.cat,mmdetection,environment,batch_dim_match
J-071,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,efficientnet,environment,shape_dim_2
J-072,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,yolov5,environment,dtype_float32
J-073,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,detectron2,environment,device_cuda
J-074,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,timm,environment,shape_channel_first
J-075,structural,Batch size dimension mismatch in concatenation,torch.cat,huggingface/transformers,environment,batch_dim_match
J-076,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,pytorch-lightning,environment,shape_dim_2
J-077,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,fastai,environment,dtype_float32
J-078,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,mmdetection,environment,device_cuda
J-079,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,efficientnet,environment,shape_channel_first
J-080,structural,Batch size dimension mismatch in concatenation,torch.cat,yolov5,environment,batch_dim_match
J-081,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,detectron2,environment,shape_dim_2
J-082,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,timm,environment,dtype_float32
J-083,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,huggingface/transformers,environment,device_cuda
J-084,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,pytorch-lightning,environment,shape_channel_first
J-085,structural,Batch size dimension mismatch in concatenation,torch.cat,fastai,environment,batch_dim_match
J-086,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,mmdetection,environment,shape_dim_2
J-087,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,efficientnet,environment,dtype_float32
J-088,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,yolov5,environment,device_cuda
J-089,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,detectron2,environment,shape_channel_first
J-090,structural,Batch size dimension mismatch in concatenation,torch.cat,timm,environment,batch_dim_match
J-091,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,huggingface/transformers,environment,shape_dim_2
J-092,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,pytorch-lightning,environment,dtype_float32
J-093,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,fastai,environment,device_cuda
J-094,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,mmdetection,environment,shape_channel_first
J-095,structural,Batch size dimension mismatch in concatenation,torch.cat,efficientnet,environment,batch_dim_match
J-096,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,yolov5,environment,shape_dim_2
J-097,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,detectron2,environment,dtype_float32
J-098,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,timm,environment,device_cuda
J-099,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,huggingface/transformers,environment,shape_channel_first
J-100,structural,Batch size dimension mismatch in concatenation,torch.cat,pytorch-lightning,environment,batch_dim_match
J-101,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,fastai,environment,shape_dim_2
J-102,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,mmdetection,environment,dtype_float32
J-103,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,efficientnet,environment,device_cuda
J-104,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,yolov5,environment,shape_channel_first
J-105,structural,Batch size dimension mismatch in concatenation,torch.cat,detectron2,environment,batch_dim_match
J-106,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,timm,environment,shape_dim_2
J-107,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,huggingface/transformers,environment,dtype_float32
J-108,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,pytorch-lightning,environment,device_cuda
J-109,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,fastai,environment,shape_channel_first
J-110,structural,Batch size dimension mismatch in concatenation,torch.cat,mmdetection,environment,batch_dim_match
J-111,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,efficientnet,environment,shape_dim_2
J-112,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,yolov5,environment,dtype_float32
J-113,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,detectron2,environment,device_cuda
J-114,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,timm,environment,shape_channel_first
J-115,structural,Batch size dimension mismatch in concatenation,torch.cat,huggingface/transformers,environment,batch_dim_match
J-116,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,pytorch-lightning,environment,shape_dim_2
J-117,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,fastai,environment,dtype_float32
J-118,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,mmdetection,environment,device_cuda
J-119,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,efficientnet,environment,shape_channel_first
J-120,structural,Batch size dimension mismatch in concatenation,torch.cat,yolov5,environment,batch_dim_match
J-121,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,detectron2,environment,shape_dim_2
J-122,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,timm,environment,dtype_float32
J-123,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,huggingface/transformers,environment,device_cuda
J-124,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,pytorch-lightning,environment,shape_channel_first
J-125,structural,Batch size dimension mismatch in concatenation,torch.cat,fastai,environment,batch_dim_match
J-126,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,mmdetection,environment,shape_dim_2
J-127,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,efficientnet,environment,dtype_float32
J-128,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,yolov5,environment,device_cuda
J-129,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,detectron2,environment,shape_channel_first
J-130,structural,Batch size dimension mismatch in concatenation,torch.cat,timm,environment,batch_dim_match
J-131,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,huggingface/transformers,environment,shape_dim_2
J-132,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,pytorch-lightning,environment,dtype_float32
J-133,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,fastai,environment,device_cuda
J-134,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,mmdetection,environment,shape_channel_first
J-135,structural,Batch size dimension mismatch in concatenation,torch.cat,efficientnet,environment,batch_dim_match
J-136,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,yolov5,environment,shape_dim_2
J-137,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,detectron2,environment,dtype_float32
J-138,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,timm,environment,device_cuda
J-139,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,huggingface/transformers,environment,shape_channel_first
J-140,structural,Batch size dimension mismatch in concatenation,torch.cat,pytorch-lightning,environment,batch_dim_match
J-141,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,fastai,environment,shape_dim_2
J-142,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,mmdetection,environment,dtype_float32
J-143,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,efficientnet,environment,device_cuda
J-144,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,yolov5,environment,shape_channel_first
J-145,structural,Batch size dimension mismatch in concatenation,torch.cat,detectron2,environment,batch_dim_match
J-146,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,timm,environment,shape_dim_2
J-147,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,huggingface/transformers,environment,dtype_float32
J-148,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,pytorch-lightning,environment,device_cuda
J-149,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,fastai,environment,shape_channel_first
J-150,structural,Batch size dimension mismatch in concatenation,torch.cat,mmdetection,environment,batch_dim_match
J-151,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,efficientnet,environment,shape_dim_2
J-152,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,yolov5,environment,dtype_float32
J-153,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,detectron2,environment,device_cuda
J-154,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,timm,environment,shape_channel_first
J-155,structural,Batch size dimension mismatch in concatenation,torch.cat,huggingface/transformers,environment,batch_dim_match
J-156,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,pytorch-lightning,environment,shape_dim_2
J-157,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,fastai,environment,dtype_float32
J-158,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,mmdetection,environment,device_cuda
J-159,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,efficientnet,environment,shape_channel_first
J-160,structural,Batch size dimension mismatch in concatenation,torch.cat,yolov5,environment,batch_dim_match
J-161,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,detectron2,environment,shape_dim_2
J-162,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,timm,environment,dtype_float32
J-163,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,huggingface/transformers,environment,device_cuda
J-164,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,pytorch-lightning,environment,shape_channel_first
J-165,structural,Batch size dimension mismatch in concatenation,torch.cat,fastai,environment,batch_dim_match
J-166,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,mmdetection,environment,shape_dim_2
J-167,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,efficientnet,environment,dtype_float32
J-168,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,yolov5,environment,device_cuda
J-169,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,detectron2,environment,shape_channel_first
J-170,structural,Batch size dimension mismatch in concatenation,torch.cat,timm,environment,batch_dim_match
J-171,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,huggingface/transformers,environment,shape_dim_2
J-172,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,pytorch-lightning,environment,dtype_float32
J-173,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,fastai,environment,device_cuda
J-174,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,mmdetection,environment,shape_channel_first
J-175,structural,Batch size dimension mismatch in concatenation,torch.cat,efficientnet,environment,batch_dim_match
J-176,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,yolov5,environment,eval_no_dropout
J-177,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,detectron2,environment,autocast_consistency
J-178,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,timm,environment,train_bn_updates
J-179,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,huggingface/transformers,environment,eval_no_dropout
J-180,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,pytorch-lightning,environment,autocast_consistency
J-181,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,fastai,environment,train_bn_updates
J-182,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,mmdetection,environment,eval_no_dropout
J-183,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,efficientnet,environment,autocast_consistency
J-184,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,yolov5,environment,train_bn_updates
J-185,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,detectron2,environment,eval_no_dropout
J-186,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,timm,environment,autocast_consistency
J-187,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,huggingface/transformers,environment,train_bn_updates
J-188,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,pytorch-lightning,environment,eval_no_dropout
J-189,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,fastai,environment,autocast_consistency
J-190,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,mmdetection,environment,train_bn_updates
J-191,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,efficientnet,environment,eval_no_dropout
J-192,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,yolov5,environment,autocast_consistency
J-193,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,detectron2,environment,train_bn_updates
J-194,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,timm,environment,eval_no_dropout
J-195,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,huggingface/transformers,environment,autocast_consistency
J-196,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,pytorch-lightning,environment,train_bn_updates
J-197,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,fastai,environment,eval_no_dropout
J-198,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,mmdetection,environment,autocast_consistency
J-199,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,efficientnet,environment,train_bn_updates
J-200,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,yolov5,environment,eval_no_dropout
J-201,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,detectron2,environment,autocast_consistency
J-202,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,timm,environment,train_bn_updates
J-203,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,huggingface/transformers,environment,eval_no_dropout
J-204,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,pytorch-lightning,environment,autocast_consistency
J-205,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,fastai,environment,train_bn_updates
J-206,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,mmdetection,environment,eval_no_dropout
J-207,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,efficientnet,environment,autocast_consistency
J-208,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,yolov5,environment,train_bn_updates
J-209,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,detectron2,environment,eval_no_dropout
J-210,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,timm,environment,autocast_consistency
J-211,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,huggingface/transformers,environment,train_bn_updates
J-212,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,pytorch-lightning,environment,eval_no_dropout
J-213,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,fastai,environment,autocast_consistency
J-214,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,mmdetection,environment,train_bn_updates
J-215,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,efficientnet,environment,eval_no_dropout
J-216,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,yolov5,environment,autocast_consistency
J-217,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,detectron2,environment,train_bn_updates
J-218,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,timm,environment,eval_no_dropout
J-219,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,huggingface/transformers,environment,autocast_consistency
J-220,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,pytorch-lightning,environment,train_bn_updates
J-221,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,fastai,environment,eval_no_dropout
J-222,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,mmdetection,environment,autocast_consistency
J-223,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,efficientnet,environment,train_bn_updates
J-224,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,yolov5,environment,eval_no_dropout
J-225,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,detectron2,environment,autocast_consistency
J-226,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,timm,environment,train_bn_updates
J-227,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,huggingface/transformers,environment,eval_no_dropout
J-228,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,pytorch-lightning,environment,autocast_consistency
J-229,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,fastai,environment,train_bn_updates
J-230,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,mmdetection,environment,eval_no_dropout
J-231,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,efficientnet,environment,autocast_consistency
J-232,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,yolov5,environment,train_bn_updates
J-233,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,detectron2,environment,eval_no_dropout
J-234,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,timm,environment,autocast_consistency
J-235,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,huggingface/transformers,environment,train_bn_updates
J-236,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,pytorch-lightning,environment,eval_no_dropout
J-237,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,fastai,environment,autocast_consistency
J-238,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,mmdetection,environment,train_bn_updates
J-239,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,efficientnet,environment,eval_no_dropout
J-240,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,yolov5,environment,autocast_consistency
J-241,metamorphic,Batch normalization stats not updating in train mode,torch.nn.BatchNorm2d,detectron2,environment,train_bn_updates
J-242,metamorphic,Model in eval mode but dropout still active,torch.nn.Dropout,timm,environment,eval_no_dropout
J-243,metamorphic,Autocast disabled but mixed precision still applied,torch.cuda.amp.autocast,huggingface/transformers,environment,autocast_consistency
